当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1922080.htm	,2020.12.31	,04:00	,意乙	,切沃	,威尼斯	,0.92	,0.91	,1.00	,93.96	,93.33	,12-31 04:00	,0.92	,0.97	,0.98	,95.38	,94.66	,	,0.94	,0.91	,0.90	,92.76	,92.43	,	,0.94	,0.94	,0.95	,94.38	,94.31	,	,2.05	,2.00	,3.10	,3.20	,4.20	,4.10	,1	,半球	,半球	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1913937.htm	,2020.12.31	,04:30	,西甲	,艾尔切	,皇家马德里	,0.93	,1.02	,0.94	,94.97	,94.89	,	,1.06	,0.94	,0.94	,92.86	,94.91	,12-31 04:00	,0.97	,0.97	,0.95	,95.86	,95.79	,	,0.93	,0.94	,0.95	,92.51	,94.87	,	,8.00	,11.50	,5.00	,6.00	,1.33	,1.25	,1	,受让球半	,受让球半/两球	,0	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1960846.htm	,2020.12.29	,19:30	,伊朗超	,马奇尼沙治	,塞帕汉	,1.11	,0.89	,0.88	,85.93	,90.81	,12-29 19:30	,0.90	,0.94	,0.92	,91.79	,92.04	,	,0.87	,0.95	,0.87	,89.18	,88.97	,	,0.93	,0.86	,0.94	,90.93	,91.33	,	,4.80	,6.50	,3.30	,3.25	,1.73	,1.60	,1	,受让半球/一球	,受让半球/一球	,0	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1961130.htm	,2020.12.29	,21:15	,伊拉联	,扎瓦拉	,扎克赫	,1.03	,0.87	,0.82	,90.02	,91.08	,12-29 21:15	,0.92	,0.93	,0.82	,89.09	,89.20	,	,0.91	,0.90	,0.82	,87.97	,88.15	,	,	,	,	,	,	,	,2.25	,2.40	,2.70	,2.88	,3.25	,2.80	,0	,没有Crown	,没有Crown	,0	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1917303.htm	,2020.12.29	,23:00	,葡甲	,奥利维伦斯	,科瓦皮耶达迪	,0.96	,0.91	,0.92	,93.44	,93.23	,	,1.00	,0.91	,0.92	,94.70	,94.70	,12-29 22:51	,0.94	,0.94	,0.83	,90.01	,90.62	,	,0.96	,0.89	,0.89	,92.23	,91.83	,	,2.00	,2.50	,3.50	,3.00	,3.70	,3.10	,1	,半球	,平手/半球	,没有详细事件	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1955320.htm	,2020.12.29	,23:00	,尼日超	,安耶巴	,阿比亚勇士	,0.93	,0.83	,0.91	,88.27	,90.58	,	,0.87	,0.92	,0.97	,89.02	,88.87	,	,0.87	,0.92	,0.97	,89.21	,89.21	,	,0.91	,0.92	,1.00	,93.30	,92.28	,12-29 20:26	,1.33	,1.30	,4.20	,4.33	,7.50	,8.00	,3	,一球/球半	,一球/球半	,3	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1905074.htm	,2020.12.30	,01:00	,英乙	,斯蒂文尼奇	,剑桥联	,0.89	,0.92	,1.00	,93.98	,94.18	,12-30 01:00	,0.86	,0.98	,1.02	,93.36	,95.74	,12-30 01:00	,0.83	,0.89	,0.99	,91.22	,90.75	,	,0.93	,0.87	,0.94	,92.29	,91.65	,	,3.00	,3.00	,3.30	,3.30	,2.30	,2.45	,3	,受让平手/半球	,受让平手/半球	,3	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1903945.htm	,2020.12.30	,02:00	,英超	,布莱顿	,阿森纳	,1.03	,0.95	,0.91	,94.96	,95.37	,12-30 02:00	,1.02	,0.95	,0.91	,95.20	,95.04	,12-30 01:49	,0.99	,0.98	,0.94	,96.73	,96.18	,	,0.98	,0.92	,0.96	,92.47	,95.25	,	,3.10	,3.70	,3.25	,3.40	,2.38	,2.05	,0	,受让平手/半球	,受让平手/半球	,0	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1903952.htm	,2020.12.30	,02:00	,英超	,伯恩利	,谢菲尔德联队	,0.90	,0.97	,1.01	,94.99	,95.14	,12-30 02:00	,0.95	,0.94	,0.98	,94.99	,95.62	,	,0.96	,0.97	,0.98	,96.94	,96.88	,	,0.96	,0.93	,0.95	,91.94	,94.60	,	,2.20	,2.38	,3.20	,3.10	,3.50	,3.30	,3	,平手/半球	,平手/半球	,3	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1903946.htm	,2020.12.30	,02:00	,英超	,西布罗姆维奇	,利兹联	,1.00	,0.96	,0.93	,95.45	,95.23	,12-30 02:00	,1.03	,0.96	,0.93	,95.43	,95.89	,12-30 01:56	,1.02	,0.98	,0.93	,96.09	,96.33	,12-30 02:00	,1.02	,0.89	,0.94	,92.39	,94.63	,12-30 01:57	,4.00	,4.33	,3.80	,3.90	,1.87	,1.80	,0	,受让半球	,受让半球/一球	,0	
