当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200712.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872348	,2020.07.12	,日职联	,清水鼓动	,大阪钢巴	,受让平手/半球	,受让半球/一球	,1.04/0.86	,2.5/3	,3	,0.81/1.07	,2.5/3	,0.86/1.01	,1	,3	,2	,2	
http://bf.win007.com/football/Over_20200712.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872344	,2020.07.12	,日职联	,横滨水手	,FC东京	,平手/半球	,半球	,1.02/0.88	,2.5	,2.5/3	,0.88/1.00	,4.5/5	,0.78/1.09	,3	,4	,0	,0	
http://bf.win007.com/football/Over_20200712.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727150	,2020.07.12	,瑞士超	,图恩	,纳沙泰尔	,平手/半球	,平手	,0.90/0.99	,2.5/3	,3	,0.95/0.92	,3.5	,0.94/0.92	,2	,3	,1	,1	
http://bf.win007.com/football/Over_20200712.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1876628	,2020.07.13	,乌克超	,德斯纳切尼赫夫	,顿涅茨克矿工	,受让平手/半球	,平手	,0.97/0.85	,2.5/3	,3	,0.92/0.88	,4.5	,0.81/1.05	,3	,6	,0	,0	
http://bf.win007.com/football/Over_20200712.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870140	,2020.07.13	,丹麦超	,奥胡斯	,米迪兰特	,平手	,平手	,0.81/1.09	,2.5/3	,3	,1.00/0.88	,2.5	,0.82/1.05	,1	,3	,0	,0	
http://bf.win007.com/football/Over_20200712.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1852248	,2020.07.13	,罗甲	,CS卡拉奥华大学	,布加勒斯特星	,平手/半球	,半球	,0.82/1.06	,2.5	,2.5/3	,0.91/0.95	,3.5	,1.03/0.83	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200711.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1726643	,2020.07.11	,波兰甲	,GKS贝查特	,保德比斯基	,受让平手/半球	,受让半球/一球	,0.96/0.92	,2.5	,2.5/3	,0.88/0.98	,2/2.5	,0.80/1.06	,1	,3	,1	,0	
http://bf.win007.com/football/Over_20200711.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1726648	,2020.07.11	,波兰甲	,台基	,涅波沃米采	,平手/半球	,平手/半球	,0.93/0.95	,2.5	,2.5/3	,0.93/0.93	,1/1.5	,0.92/0.94	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200711.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1876931	,2020.07.11	,奥甲	,奥地利维也纳	,哈特堡格	,平手/半球	,半球	,0.83/1.07	,2.5/3	,3	,0.86/1.01	,2.5/3	,0.85/1.01	,1	,5	,1	,0	
http://bf.win007.com/football/Over_20200711.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727152	,2020.07.29	,瑞士超	,苏黎世	,锡昂	,平手	,受让平手/半球	,1.06/0.82	,2.5/3	,3	,0.92/0.94	,2.5/3	,0.90/0.96	,1	,1	,0	,0	
